,epsilon,Optimal lbd ,Optimal RSS,Optimal lbd DP1,Optimal RSS DP1,Optimal lbd DP2,Optimal RSS DP2
3,0.30400000000000005,10,0.266437211271122,10,0.26659657047638985,10,0.2318228240354957
4,0.405,10,0.24801321647775454,10,0.2481534486260807,10,0.26995270411015776
5,0.506,10,0.2625570037181837,10,0.26268712167938674,1,0.241819519747222
6,0.6070000000000001,10,0.2666461056730168,10,0.26669965264739626,10,0.25621959559682245
7,0.7080000000000001,1,0.2549137204381873,1,0.2548784603602122,10,0.23627161156842094
8,0.809,10,0.2513959303783432,10,0.25145643075260826,10,0.2545539213654002
9,0.91,10,0.2480081607084873,10,0.2481835225196611,10,0.23968725743998506
10,1.011,1,0.2613510718586381,1,0.2612926005190364,10,0.2501605142307064
11,1.112,10,0.2401701208421083,10,0.24028863752810026,1,0.26168390358799976
12,1.213,10,0.2460058837726009,10,0.2459431631552874,1,0.25865935987908084
13,1.314,10,0.2606978207993306,10,0.26098906003910594,10,0.23367807185430906
14,1.415,1,0.2381270955100848,1,0.23818446274497895,10,0.25247223627798504
15,1.516,1,0.2378160568713918,1,0.2378777065513653,10,0.2353011668690797
16,1.617,10,0.28426544242738266,10,0.28418403922797897,10,0.2720995707309454
17,1.7180000000000002,10,0.2530605306520406,10,0.25292488824357656,10,0.2542440500189048
18,1.819,10,0.2546240707892572,10,0.25453982022584754,1,0.2569522139241642
19,1.92,10,0.26868200181847185,10,0.2686264802264582,10,0.2436414354124793
20,2.021,10,0.24844776052506964,10,0.24843664091552795,10,0.2529744465325504
21,2.122,10,0.2481100377252677,10,0.24803415318924396,10,0.24586128843767094
22,2.2230000000000003,10,0.2407252375114233,10,0.2408825065462677,10,0.27999117528031764
23,2.324,10,0.247508397377222,10,0.24750021490555116,10,0.23851463522951924
24,2.4250000000000003,10,0.2450153621179707,10,0.2449479502376184,10,0.2617755069132855
25,2.526,10,0.2367116390948269,10,0.2367691156788129,10,0.24055597021724054
0,2.627,10,0.237524105196724,10,0.23746886336290185,10,0.24255849283148545
1,2.728,10,0.26015681454893497,10,0.2601899272199862,10,0.24761496373542224
2,2.8289999999999997,10,0.2687300633316957,10,0.2688512384924501,10,0.24548075204471076
3,2.93,10,0.26158809265783994,10,0.2615886763845533,10,0.2716161654768928
4,3.031,1,0.2362242786106553,1,0.23623600997869226,10,0.2546881417277321
5,3.1319999999999997,100,0.2546660199164628,100,0.2546764781222724,1,0.2477094644757091
